"","Date","Region","Title","Text","Scores"
"1",2019,"Americas","
		USA: Exoneration of Scott Warren is a triumph for humanity
	","
		In response to the humanitarian volunteer Dr Scott Warren being found not guilty of the charges against him in a court in Arizona today, Erika Guevara-Rosas, Americas director at Amnesty International, said:
“Sense has prevailed today with the jury exonerating Dr. Scott Warren for a simple reason: humanitarian aid is never a crime. The Trump administration is wrong to try to prosecute people who are only trying to save lives. By threatening Dr. Warren with a decade in prison, the US government sought to criminalize compassion and weaponize the deadly desert against people who make the perilous journey to the United States in search of safety.”

	
	
		Sense has prevailed today with the jury exonerating Dr. Scott Warren for a simple reason: humanitarian aid is never a crime
	

		
			Erika Guevara-Rosas, Americas director at Amnesty International
		
Background information: 
This was the second trial Dr Warren has faced on charges of “harbouring” two migrants, for providing them with humanitarian assistance in the town of Ajo, Arizona, where he lives. The first trial resulted in a mistrial on 2 July, when eight of 12 jurors sought to acquit him on all charges but could not reach a unanimous decision.
In July, Amnesty International issued a report documenting the Trump administration’s misuse of the criminal justice system to threaten, intimidate, and punish those defending the human rights of migrants and asylum seekers on the US–Mexico border.
For more information or to arrange an interview, contact Carlos Mendoza: carlos.mendoza@amnesty.org
	",0
"2",2019,"Middle East and North Africa ","
		Philippines: Authorities must not deport Iranian asylum seeker trapped in Manila airport
	","
		A 31-year-old Iranian asylum seeker, Bahareh Zarebahari, may be at risk of being deported to Iran where she could face detention and torture, said Amnesty International today. A decision on her case is reported to be imminent. She is entering her fourth week in detention, trapped in the transit area of Manila’s main airport.
“Bahareh Zarebahari has been a vocal critic of the Iranian authorities and a public opponent of forced veiling. If the Philippines authorities send her to Iran she risks arrest, torture and other ill-treatment, and unfair trial and imprisonment,” said Nicholas Bequelin, Amnesty International’s Regional Director for East and Southeast Asia.
“The Philippines authorities have an obligation under international law to refrain from sending anyone to a country where they could be at risk of serious human rights violations.”

	
	
		Bahareh Zarebahari has been a vocal critic of the Iranian authorities and a public opponent of forced veiling. If the Philippines authorities send her to Iran she risks arrest, torture and other ill-treatment, and unfair trial and imprisonment
	

		
			Nicholas Bequelin, Amnesty International
		
Zarebahari, who has lived in the Philippines for the past five years and represented Iran at the 2018 Miss Intercontinental beauty pageant in Manila, was detained upon arrival in Manila from Dubai on 17 October 2019. Philippine authorities acted on an Interpol Red Notice placed on her by Iranian authorities. She has still not been told what charges she faces in Iran.
She has since been held in a room in Terminal 3 of Manila’s Ninoy Aquino international airport. According to reports, the Red Notice relates to an offence the Iranian authorities allege she committed in Iran in 2018 but Zarebahari says she has not travelled to Iran since 2014. In her social media posts on Facebook and Instagram, she has claimed that the Iranian authorities want to punish her for her opposition to the Islamic Republic.
A dentistry student in the Philippines, Zarebahari has been vocal about her support for Iran’s former crown prince, Reza Pahlavi. During the 2018 beauty contest in Manila, she waved a poster of Reza Pahlavi and draped herself in the former national flag of Iran, which bears the lion and sun emblem that has become associated with the deposed royal family.
In a media interview on 21 October, Zarehbahari said that her problems in the Philippines began after she participated in the beauty pageant. She said she began receiving threatening messages from an official in the Iranian embassy in the Philippines who told her she had to visit the embassy questioning.
“It’s appalling that she has been detained for so long in airport transit, in such dismal conditions,” said Nicholas Bequelin. “The Philippines authorities have a clear international legal obligation to keep her safe and not return her to Iran, where she could face human rights violations.”
In a series of messages on her social media accounts on Facebook and Instagram, Zarebahari says that airport authorities have detained her like a prisoner and denied her any visitors besides limited access to her Philippines lawyers. She has been shouted at while trying to sleep, is exposed to bright lights 24 hours a day, and has no access to hot water. She says her physical and mental health have deteriorated by her three-week detention. She has not been sleeping and suffers from constant headaches.
Zarebahari says that three weeks ago, security guards handcuffed her, pulled her by her hair, arms and legs and tried to force her on a plane to Iran. In recent days, despite her pending asylum case, airport authorities tried to coerce her to sign papers agreeing to her deportation to Iran. In recent Facebook posts, she says that she has no update from the Philippines authorities about her case, though, according to some reports, a decision on her case is imminent.
Previously, Markk Perete, Undersecretary at the Philippine Department of Justice, said that “the only reason she was held at the airport […] is only because of that Red Notice issued against her.”
On 6 November, Philippines Senator and Amnesty International Prisoner of Conscience Leila de Lima raised concerns about Bahareh Zarebahari's case and urged the Philippines government to consider her asylum application in compliance with international human rights law.
Under international law, all states are entitled to regulate access and residence of foreigners on their territory and return people who are irregularly present on their territory to their country of origin. However, like any other state, the Philippines is bound by the principle of non-refoulement, which is the cornerstone of refugee law, enshrined in customary international law. Under this principle, governments are prohibited from sending anyone to a country where they would be at risk of serious human rights violations.
	",0
"3",2019,"Americas","
		USA: Trump administration's asylum ban could be a death sentence for people seeking safety
	","
		Today, Amnesty International condemned the Supreme Court’s decision allowing the Trump administration’s asylum ban to temporarily proceed. Charanya Krishnaswami, the Advocacy Director for the Americas at Amnesty International USA, stated:
“The asylum ban the Supreme Court has upheld could be a death sentence for people in search of safety and protection. The asylum ban is grounded in an ideology of hatred and xenophobia, and it cannot stand. 
“Every person has the right to seek safety: this is a moment that will prove itself infamous, when the country turned its back on those it used to welcome and chose to ignore people’s humanity.”
Next week, Amnesty International will travel to South Texas to seek access to the secretive port courts that have been built for assembly-line proceedings for asylum-seekers subject to the Trump administration’s Remain in Mexico policy, under which the U.S. government forces people to stay in Mexico while they ask for asylum in the United States. 

	
	
		Every person has the right to seek safety: this is a moment that will prove itself infamous, when the country turned its back on those it used to welcome and chose to ignore people’s humanity
	

		
			Charanya Krishnaswami, advocacy director for the Americas at Amnesty International USA
		
Background and context: 
Amnesty International has documented the dangers that people seeking asylum face, not just in their countries of origin, but also on their journeys to safety. We have previously found that LGBTI-identifying asylum-seekers from Guatemala, El Salvador, and Honduras face tremendous risks of sexual assault, violence, and harm on their journey north. The ban could mean that LGBTI-identifying people would be forced to seek protection in places where they are at grave risk of harm.
Amnesty International has also found that Mexico’s asylum system is ill-equipped to respond to the number of people who could be forced to seek protection there. Amnesty International’s investigation found that far from providing asylum-seekers safety, the Mexican government instead routinely detains them and deports them into harm’s way. Recent actions by the government of Andrés Manuel López Obrador, including the deployment of National Guard troops throughout the country to crack down on asylum-seekers, have made the situation even more dangerous for asylum-seekers. According to official numbers,  Mexico’s deportation numbers increased from from 53,747 January to June 2018 to 71,376 in the same period in 2019. 
Under the “Remain in Mexico” program, Amnesty International has found that asylum-seekers who are forced to wait in Mexico are subject to grave harm, including kidnapping, assault, and extortion by the very authorities who are supposed to protect them.
For more information or to arrange an interview, contact Duncan Tucker: duncan.tucker@amnesty.org
	",-5
"4",2019,"Africa","
		Tanzania: Confidential document shows forced repatriation of Burundi refugees imminent
	","
		A leaked, confidential document seen and reviewed by Amnesty International confirms fears that the repatriation of Burundian refugees from Tanzania will not be wholly voluntary and could start as soon as next week.

	
	
		It is extremely shocking that the Government of Tanzania is willing to send  people against their will to a place the UN has deemed requires close monitoring as crimes against humanity and serious human rights violations continue unchecked.
	

		
			Seif Magango, Amnesty International's Deputy Director for East Africa, the Horn and the Great Lakes
		
The bilateral agreement signed by Tanzania’s Minister for Home Affairs Kangi Lugola and Burundi’s Minister of Interior Pascal Barandagiye on 24 August states that the new planned returns process would begin in the “second week of September and be completed by 31 December 2019” and that “returns would continue with or without refugees’ consent”.
“It is extremely shocking that the Government of Tanzania is willing to send  people against their will to a place the UN has deemed requires close monitoring as crimes against humanity and serious human rights violations continue unchecked,” said Seif Magango, Amnesty International’s Deputy Director for East Africa, the Horn and the Great Lakes.
“This accelerated timeline for returns is extremely alarming. That these two governments are in such a hurry to return people who fled Burundi because they felt their lives were at risk clearly demonstrates that their safety is not considered a priority.

	
	
		This accelerated timeline for returns is extremely alarming. That these two governments are in such a hurry to return people who fled Burundi because they felt their lives were at risk clearly demonstrates that their safety is not considered a priority.
	

		
			Seif Magango, Amnesty International's Deputy Director for East Africa, the Horn and the Great Lakes
		
 “With serious human rights violations and acts of repression continuing, it is essential that asylum space remains open to Burundians who are still leaving the country, as well as those who fled previously,” Seif Magango said.
Nearly 75,000 people have already returned to Burundi from Tanzania since September 2017 under a voluntary repatriation programme facilitated by United Nations High Commissioner for Refugees.
But this new agreement shows that the two countries have thrown caution to the wind and will proceed with their plans even against the advice of UN Refugee Agency (UNHCR).

	
	
		The governments of Tanzania and Burundi must immediately abandon their new plans to forcibly repatriate Burundi refugees.
	

		
			Seif Magango, Amnesty International's Deputy Director for East Africa, the Horn and the Great Lakes
		
The agreement reads; “whether our partner UNHCR will show interest to play their role or wants to delay us, we, the two countries, will proceed with this exercise to ensure that these Burundians go to their home.”
Amnesty International is calling for the immediate shelving of this agreement.
“The governments of Tanzania and Burundi must immediately abandon their new plans to forcibly repatriate Burundi refugees,” said Seif Magango.
“All three parties must ensure that any returns undertaken are genuinely voluntary and conducted in safety and with dignity in line with international principles and standards.”

	
	
		All three parties must ensure that any returns undertaken are genuinely voluntary and conducted in safety and with dignity in line with international principles and standards.
	

		
			Seif Magango, Amnesty International's Deputy Director for East Africa, the Horn and the Great Lakes
		
The Tanzanian authorities must further publicly reassure Burundian refugees and asylum-seekers that they will continue receiving protection in Tanzania, without pressure to return.
Background
In January 2017, the Tanzanian authorities ended prima facie recognition of refugees from Burundi, meaning that all asylum seekers coming from Burundi were from then on individually assessed.
By July 2018, the Government of Tanzania had closed all reception centres at border entry points from Burundi – both restricting access to the country and the possibility of claiming asylum.
The government has further temporarily closed the refugees’ common markets and some refugee-run businesses in the camps putting great pressure on the Burundian refugee community to leave the country.
	",-14
"5",2019,"Europe and Central Asia","
		Switzerland: Judgment day for pensioner convicted for showing compassion to frost-bitten asylum-seeker
	","
		Ahead of tomorrow’s appeal against the conviction of Anni Lanz, a 73-year-old woman convicted and fined with 800 Swiss francs ($820 US) for giving a rough-sleeping frost-bitten Afghan asylum seeker a lift over the Italian border into Switzerland, Amnesty International’s Senior Campaigner on Migration, Maria Serrano, said:
“Anni Lanz has done nothing wrong and committed no crime. By driving across the border to help a young and traumatized man who had been forced to sleep rough in sub-zero temperatures, she showed compassion, not criminality.

	
	
		Efforts by individuals and NGOs to help people seeking safety should be lauded and defended, not criminalised
	

		
			Maria Serrano, Amnesty International
		
“The conviction against Anni should be overturned and legislation in Switzerland amended so it no longer punishes good Samaritans for acts of solidarity.
“Dragging her before the court on absurd charges makes a mockery of justice. Efforts by individuals and NGOs to help people seeking safety should be lauded and defended, not criminalised.”
Background 
Anni Lanz was charged with facilitating irregular entry into Switzerland, after she gave a lift to an Afghan asylum seeker she found sleeping outside a train station in freezing conditions in Italy, near the Swiss border. She had originally met the man in a removal centre in Basel.
He was suffering from serious psychological problems following the reported death of his wife and child and was desperate to stay with his sister in Switzerland. Despite medical reports provided to Swiss authorities recommending that he be allowed to stay with his sister, Swiss authorities had returned him to Italy.
After hearing that he did not have a place in the reception centre in Italy and was sleeping in the streets in temperatures of minus 10 degrees, Anni went to pick him up. Article 116 of the Federal Aliens Law in Switzerland criminalizes the facilitation of irregular entry, stay and circulation.
Although the law foresees different penalties for those who facilitate for profit and those who don’t, Amnesty considers that the criminal justice should never be used to punish acts of solidarity. Anni Lanz has worked on refugee rights since 1985 and is well-known in Switzerland.
	",2
"6",2019,"Europe and Central Asia","
		Italy/Malta/Spain: 121 people including babies and children stranded at sea in searing heat must be allowed to dock
	","
		More than 30 children, including two babies, and nearly 90 men and women stranded at sea in searing temperatures, must be immediately allowed to dock, said Amnesty International, as the stand-off between the Italian, Maltese and Spanish authorities and a NGO rescue ship enters its second week.
Despite mounting concerns for their well-being, Italian and Maltese authorities are refusing a port where they could safely be disembarked. Spanish authorities have yet to formally request help from European institutions to mediate a solution.

	
	
		After a week stranded at sea in blistering heat, these women, men and children should be immediately disembarked either in Malta or Italy
	

		
			Maria Serrano, Amnesty International
		
“After a week stranded at sea in blistering heat, these women, men and children who have risked their lives to escape human rights abuses in Libya should be immediately disembarked either in Malta or Italy,” said Maria Serrano, Amnesty International’s Senior Researcher on Migration.
“Despite mounting concerns for the well-being of those on board, politicians are shamelessly breaching their responsibilities under international law by refusing to grant a safe port to people who could face torture if returned to Libya and who are exhausted and in need of protection and care.”
Seven days after they were rescued from the water by the Proactiva Open Arms NGO ship, 121 people - including 30 children and two babies - remain on board in sweltering heat and overcrowded conditions. The ship, sailing under the Spanish flag, remains about 30 nautical miles from Italy, between Malta and Lampedusa.
Those on board were saved in two rescues on 1 and 2 August in international waters, the first at 78 nautical miles from Libya and the second one close to the Maltese search and rescue zone. Many claim to have suffered extreme forms of abuse whilst in detention in Libya and some reportedly have third degree burns and gunshot wounds. At least one man claims to have sustained his injuries during last month’s attack on Tajoura detention centre in Tripoli.

	
	
		It is unconscionable that just off the beaches on which holiday-makers bask, babies are stranded at sea
	

		
			Maria Serrano, Amnesty International
		
This stand-off comes a day after the Italian parliament signed off on Minister of Interior Salvini’s second “security decree”. The new law, dubbed “the Decreto Sicurezza bis”, means that private rescue boats entering Italian territorial waters without permission could face fines of up to 1 million Euros and be impounded.
This is just the latest in a series of instances of ships in the Central Mediterranean rescuing people at sea only to be blocked from docking in the nearest safe port. UNHCR and UN Special rapporteurs have already criticized the new measures which could further discourage shipmasters from rescuing people while states have mostly withdrawn from rescue efforts in the central Mediterranean. Meanwhile, another boat from the NGO Proactiva, the Astral, will depart from Spain on Saturday to provide assistance – including food, water and medical supplies - to the Open Arms.
“It is unconscionable that just off the beaches on which holiday-makers bask, babies are stranded at sea. European states, starting with Italy and Malta, have brazenly undermined the search and rescue system and used people as pawns to negotiate abusive migration policies, with callous disregard for peoples’ safety,” said Maria Serrano.

	
	
		It is time that European governments stop playing with people’s lives and deploy adequate resources for search and rescue where they are needed
	

		
			Maria Serrano, Amnesty International
		
“It is time that European governments stop playing with people’s lives and deploy adequate resources for search and rescue where they are needed. They must urgently agree on a swift and predictable disembarkation mechanism in line with international law and on a fair system to distribute asylum-seekers among EU countries.”
Background:
Prompt disembarkation is discouraged by the unfairness of the European asylum rules (the so-called Dublin system). These determine the country responsible for examining an asylum application.
Usually the country through which the asylum-seeker first entered the EU is responsible for examining their asylum claim. This forces a few countries to process the majority of the applications.
For more information see our 2018 report https://www.amnesty.org/en/documents/eur30/8906/2018/en/
For more information or to arrange an interview contact stefan.simanowitz@amnesty.org 
 
 
 
 
 
	",-1
"7",2019,"Europe and Central Asia","
		Latest Mediterranean drowning demands ‘courageous’ response from EU leaders 
	","
		Reacting to yesterday’s news that almost 150 people have drowned in the Mediterranean and around the same number have been returned to Libya by the Libyan Coastguard, where they risk indefinite detention, Massimo Moratti, Research Director for Europe at Amnesty International, said:
“If reports that 150 people have drowned are confirmed this represents the highest death toll from a shipwreck in the Mediterranean this year.
“This high number represents a new low for European leaders. They have done everything they can to pull up the drawbridge to Europe; withdrawing Search and Rescue Operations; criminalising NGO rescue boats; cooperating with the Libyan coastguard, and yet people are still risking their lives to come to Europe.
“Despite the increasingly risky journey and the unspeakable obstacles, people attempting the crossing to Europe demonstrate enormous hope in a better future and enormous courage to make it happen. We need to see European leaders show some courage too and shift their approach to a humane one which saves lives and doesn’t condemn those who survive to detention in Libya.”
	",-6
"8",2019,"Americas","
		USA: Trump’s racist slurs translates into degrading, dehumanizing policies
	","
		Responding to President Trump’s toxic tweets accusing four Democrat Congresswomen of hating the United States and suggesting they go back to the “totally broken and crime infested places from which they came”, Amnesty International’s Secretary General, Kumi Naidoo, said:

	
	
		As President of the United States, Trump has demonized minority groups, whipped up hatred, fear and sowed division.
	

		
			Kumi Naidoo, Amnesty International Secretary General
		
“As President of the United States, Trump has demonized minority groups, whipped up hatred, fear and sowed division. Trump’s ugly targeting of these Congresswomen exposes the racism and xenophobia at the heart of his despicable policies – from imposing a travel ban on people travelling from Muslim majority countries to separating children from their parents at the Mexican border to denying the rights of people seeking asylum. His words prove that xenophobia, rather than the safety of the people of the United States, motivates these policies.
“President Trump must stop normalizing racism, sexism, transphobia, cruelty and hate. He must start seeing all people, not just a favoured few, as humans; not scapegoats or targets for ridicule. He must honour the US’ commitments to the world’s most vulnerable, including people fleeing horrific violence and persecution, and protect the human rights of all.”  

	
	
		President Trump must stop normalizing racism, sexism, transphobia, cruelty and hate. He must start seeing all people, not just a favoured few, as humans; not scapegoats or targets for ridicule.
	

		
			Kumi Naidoo
		
  
Background
In a series of tweets on 14 July, President Trump said of the four Congresswomen: “Why don’t they go back and help fix the totally broken and crime infested places from which they came. Then come back and show us how ... it is done.”
Trump did not identify the lawmakers by name in his 14 July tweets, but it was widely understood that he was referring to Alexandria Ocasio-Cortez of New York, Ilhan Omar of Minnesota, Ayanna Pressley of Massachusetts and Rashida Tlaib of Michigan.
On 15 July, Trump renewed his attack on AOC, as Alexandria Ocasio-Cortez is popularly known, and the other lawmakers, accusing them of being “anti-America” and having policies that would “destroy our Country!”.
	",-2
"9",2019,"Europe and Central Asia","
		Turkey: Refugee stranded in airport transit zone at risk of imminent deportation
	","
		A Palestinian refugee from Syria who has been stranded in the transit zone of Istanbul Airport for more than six weeks is at risk of imminent deportation and must be granted access to the Turkish territory, said Amnesty International.

	
	
		As thousands of passengers stream through Istanbul’s new airport terminal, all Mohamed Ajlani Younes can do is watch and wait
	

		
			Adriana Tidona, Amnesty International
		
Mohamed Ajlani Younes has been living in the airport with no access to adequate food, natural light or fresh air since 26 May.
“As thousands of passengers stream through Istanbul’s new airport terminal, all Mohamed Ajlani Younes can do is watch and wait. He is at risk of imminent deportation to Lebanon which would put him in danger of being sent to Syria, where he would be at risk of serious human rights violations,"" said Adriana Tidona, Migration Researcher at Amnesty International.
“Mohamed has nowhere to sleep or bathe and has been surviving on cheese sandwiches, water and fruit juice, and the situation is adversely affecting his health. Turkish authorities should immediately allow him to enter Turkey and access the support to which he is entitled as an asylum seeker.”

	
	
		Mohamed is at risk of imminent deportation to Lebanon which would put him in danger of being sent to Syria, where he would be at risk of serious human rights violations
	

		
			Adriana Tidona, Amnesty International
		
While Mohamed’s asylum application in Turkey has not been decided and there is no formal deportation decision against him, there have been two attempts to deport him to Lebanon. From there he could be deported to Syria.
BACKGROUND
Mohamed Ajlani Younes fled Syria in 2012 and moved to Lebanon, where he lived in the Shatila refugee camp with his wife and two children, who continue to reside in the camp. After leaving Lebanon, on 26 May 2019 he was stopped in Istanbul airport, allegedly for travelling with a fake passport, and denied entry into Turkey.
On 28 May he made an application for asylum in Turkey expressing his fears about being returned to Lebanon. Asylum seekers should not be penalised for illegal entry in a country where they seek protection, as long as they present themselves without delay to the authorities showing good cause for it.
Amnesty recently reported on the deteriorating conditions and mounting hostility in Lebanon against refugees from Syria and believes that the coercive environment created by the Lebanese authorities is forcing them to return to Syria, in breach of Lebanon’s obligations under the non-refoulement principle, which forbids the transfer of individuals to a country where they would face serious human rights violations.
 
	",-9
"10",2019,"Americas","
		USA: Decision to retry Dr. Scott Warren is part of wider campaign against human rights defenders
	","
		In response to US federal prosecutors deciding today to retry the human rights defender Dr. Scott Warren after a previous attempt to prosecute him ended in a mistrial, Erika Guevara-Rosas, Americas director Amnesty International, said:
“By deciding to mount an entirely new trial against Dr. Scott Warren, the Trump administration is doubling down on its attacks against human rights defenders who are doing necessary and life-saving work at the US-Mexico border.”
“Amnesty International has documented that the criminalization of Dr. Warren is not an isolated incident, but part of a larger politically-motivated campaign of harassment and intimidation by the US government that is in clear violation of US and international law. The US government must immediately halt these campaigns, and Congress should hold authorities accountable for their abuse of power.”
For more information or to arrange an interview, contact Duncan Tucker: +52 (1) 55 4848 8266, duncan.tucker@amnesty.org
	",-3
